,lab
0,IGI
1,IGI
2,IGI
3,IGI
4,IGI
5,IGI
6,IGI
7,IGI
8,IGI
9,IGI
10,IGI
11,IGI
12,IGI
13,IGI
14,IGI
15,IGI
16,IGI
17,IGI
18,IGI
19,IGI
20,IGI
21,IGI
22,IGI
23,IGI
24,IGI
25,IGI
26,IGI
27,IGI
28,IGI
29,IGI
30,IGI
31,IGI
32,IGI
33,IGI
34,IGI
35,IGI
36,IGI
37,IGI
38,IGI
39,IGI
40,IGI
41,IGI
42,IGI
43,IGI
44,IGI
45,IGI
46,IGI
47,IGI
48,IGI
49,IGI
50,IGI
51,IGI
52,IGI
53,IGI
54,IGI
55,IGI
56,IGI
57,IGI
58,IGI
59,IGI
60,IGI
61,IGI
62,IGI
63,IGI
64,IGI
65,IGI
66,IGI
67,IGI
68,IGI
69,GIA
70,GIA
71,IGI
72,IGI
73,GIA
74,IGI
75,IGI
76,IGI
77,GIA
78,GIA
79,GIA
80,IGI
81,IGI
82,IGI
83,IGI
84,IGI
85,IGI
86,IGI
87,IGI
88,IGI
89,IGI
90,IGI
91,IGI
92,GIA
93,GIA
94,GIA
95,GIA
96,IGI
97,IGI
98,IGI
99,GIA
100,IGI
101,GIA
102,IGI
103,IGI
104,IGI
105,IGI
106,IGI
107,GIA
108,IGI
109,IGI
110,GIA
111,GIA
112,GIA
113,IGI
114,IGI
115,IGI
116,IGI
117,IGI
118,IGI
119,IGI
120,IGI
121,IGI
122,GIA
123,IGI
124,IGI
125,GIA
126,GIA
127,IGI
128,IGI
129,IGI
130,IGI
131,GIA
132,GIA
133,GIA
134,GIA
135,GIA
136,IGI
137,IGI
138,IGI
139,IGI
140,IGI
141,IGI
142,IGI
143,IGI
144,IGI
145,IGI
146,IGI
147,IGI
148,IGI
149,IGI
150,IGI
151,GIA
152,GIA
153,IGI
154,IGI
155,GIA
156,GIA
157,GIA
158,IGI
159,GIA
160,IGI
161,IGI
162,IGI
163,IGI
164,IGI
165,IGI
166,IGI
167,IGI
168,IGI
169,GIA
170,GIA
171,IGI
172,IGI
173,IGI
174,GIA
175,IGI
176,IGI
177,GIA
178,IGI
179,IGI
180,IGI
181,IGI
182,GIA
183,GIA
184,IGI
185,IGI
186,GIA
187,IGI
188,IGI
189,IGI
190,IGI
191,IGI
192,IGI
193,IGI
194,IGI
195,IGI
196,GIA
197,GIA
198,GIA
199,GIA
200,GIA
201,GIA
202,IGI
203,IGI
204,GIA
205,IGI
206,GIA
207,IGI
208,IGI
209,IGI
210,IGI
211,IGI
212,IGI
213,IGI
214,IGI
215,IGI
216,IGI
217,IGI
218,HRD
219,HRD
220,IGI
221,GIA
222,IGI
223,GIA
224,GIA
225,IGI
226,GIA
227,IGI
228,IGI
229,IGI
230,GIA
231,GIA
232,GIA
233,GIA
234,IGI
235,IGI
236,IGI
237,IGI
238,IGI
239,IGI
240,IGI
241,IGI
242,IGI
243,IGI
244,IGI
245,IGI
246,IGI
247,IGI
248,IGI
249,IGI
250,GIA
251,IGI
252,IGI
253,GIA
254,GIA
255,GIA
256,GIA
257,IGI
258,IGI
259,IGI
260,IGI
261,GIA
262,GIA
263,IGI
264,IGI
265,GIA
266,GIA
267,GIA
268,GIA
269,IGI
270,IGI
271,IGI
272,IGI
273,IGI
274,IGI
275,IGI
276,IGI
277,IGI
278,IGI
279,IGI
280,IGI
281,IGI
282,IGI
283,IGI
284,IGI
285,IGI
286,IGI
287,IGI
288,IGI
289,IGI
290,IGI
291,GIA
292,IGI
293,GIA
294,GIA
295,GIA
296,GIA
297,GIA
298,IGI
299,IGI
300,IGI
301,IGI
302,IGI
303,IGI
304,IGI
305,IGI
306,GIA
307,GIA
308,GIA
309,IGI
310,GIA
311,GIA
312,GIA
313,GIA
314,GIA
315,GIA
316,GIA
317,GIA
318,GIA
319,GIA
320,GIA
321,IGI
322,GIA
323,IGI
324,IGI
325,IGI
326,GIA
327,GIA
328,GIA
329,GIA
330,IGI
331,GIA
332,HRD
333,HRD
334,HRD
335,IGI
336,IGI
337,GIA
338,GIA
339,GIA
340,GIA
341,GIA
342,GIA
343,GIA
344,GIA
345,GIA
346,GIA
347,GIA
348,IGI
349,IGI
350,IGI
351,IGI
352,GIA
353,IGI
354,IGI
355,IGI
356,GIA
357,GIA
358,GIA
359,GIA
360,IGI
361,GIA
362,IGI
363,GIA
364,GIA
365,IGI
366,GIA
367,GIA
368,GIA
369,GIA
370,GIA
371,IGI
372,GIA
373,GIA
374,GIA
375,GIA
376,GIA
377,IGI
378,IGI
379,IGI
380,IGI
381,GIA
382,GIA
383,IGI
384,GIA
385,GIA
386,GIA
387,GIA
388,IGI
389,IGI
390,GIA
391,GIA
392,IGI
393,IGI
394,GIA
395,GIA
396,IGI
397,GIA
398,GIA
399,GIA
400,IGI
401,GIA
402,IGI
403,GIA
404,GIA
405,IGI
406,IGI
407,GIA
408,GIA
409,GIA
410,IGI
411,GIA
412,GIA
413,IGI
414,IGI
415,GIA
416,GIA
417,GIA
418,IGI
419,GIA
420,IGI
421,IGI
422,IGI
423,IGI
424,IGI
425,IGI
426,IGI
427,IGI
428,IGI
429,GIA
430,GIA
431,GIA
432,GIA
433,GIA
434,GIA
435,GIA
436,GIA
437,GIA
438,GIA
439,IGI
440,GIA
441,GIA
442,GIA
443,GIA
444,GIA
445,GIA
446,GIA
447,GIA
448,IGI
449,GIA
450,IGI
451,IGI
452,GIA
453,IGI
454,GIA
455,GIA
456,IGI
457,IGI
458,IGI
459,GIA
460,GIA
461,IGI
462,IGI
463,IGI
464,GIA
465,IGI
466,IGI
467,IGI
468,IGI
469,GIA
470,HRD
471,IGI
472,IGI
473,IGI
474,GIA
475,GIA
476,GIA
477,IGI
478,GIA
479,IGI
480,GIA
481,IGI
482,IGI
483,GIA
484,GIA
485,IGI
486,IGI
487,IGI
488,IGI
489,IGI
490,IGI
491,IGI
492,IGI
493,IGI
494,IGI
495,IGI
496,GIA
497,GIA
498,IGI
499,GIA
500,GIA
501,GIA
502,GIA
503,GIA
504,IGI
505,GIA
506,IGI
507,GIA
508,GIA
509,IGI
510,IGI
511,GIA
512,GIA
513,GIA
514,GIA
515,GIA
516,GIA
517,GIA
518,GIA
519,GIA
520,GIA
521,GIA
522,GIA
523,GIA
524,GIA
525,IGI
526,GIA
527,GIA
528,GIA
529,GIA
530,GIA
531,GIA
532,GIA
533,GIA
534,IGI
535,IGI
536,GIA
537,GIA
538,IGI
539,IGI
540,GIA
541,GIA
542,GIA
543,GIA
544,GIA
545,GIA
546,GIA
547,IGI
548,GIA
549,IGI
550,GIA
551,GIA
552,HRD
553,HRD
554,HRD
555,HRD
556,GIA
557,GIA
558,GIA
559,GIA
560,IGI
561,IGI
562,IGI
563,GIA
564,GIA
565,GIA
566,GIA
567,GIA
568,GIA
569,GIA
570,GIA
571,GIA
572,IGI
573,IGI
574,IGI
575,IGI
576,IGI
577,IGI
578,IGI
579,IGI
580,IGI
581,IGI
582,IGI
583,IGI
584,IGI
585,IGI
586,IGI
587,IGI
588,IGI
589,IGI
590,IGI
591,IGI
592,IGI
593,IGI
594,IGI
595,IGI
596,IGI
597,IGI
598,IGI
599,IGI
600,IGI
601,IGI
602,IGI
603,IGI
604,IGI
605,IGI
606,IGI
607,IGI
608,IGI
609,IGI
610,IGI
611,IGI
612,IGI
613,IGI
614,IGI
615,GIA
616,GIA
617,GIA
618,GIA
619,GIA
620,GIA
621,IGI
622,GIA
623,IGI
624,IGI
625,IGI
626,IGI
627,IGI
628,GIA
629,GIA
630,GIA
631,IGI
632,GIA
633,IGI
634,GIA
635,GIA
636,IGI
637,GIA
638,GIA
639,GIA
640,GIA
641,GIA
642,GIA
643,GIA
644,GIA
645,GIA
646,GIA
647,GIA
648,GIA
649,GIA
650,GIA
651,GIA
652,IGI
653,IGI
654,IGI
655,GIA
656,GIA
657,GIA
658,IGI
659,GIA
660,GIA
661,GIA
662,IGI
663,GIA
664,GIA
665,GIA
666,IGI
667,IGI
668,IGI
669,GIA
670,GIA
671,GIA
672,GIA
673,GIA
674,GIA
675,IGI
676,GIA
677,IGI
678,IGI
679,IGI
680,GIA
681,GIA
682,GIA
683,GIA
684,GIA
685,GIA
686,IGI
687,GIA
688,IGI
689,IGI
690,IGI
691,IGI
692,IGI
693,IGI
694,IGI
695,GIA
696,GIA
697,GIA
698,GIA
699,GIA
700,GIA
701,GIA
702,GIA
703,GIA
704,GIA
705,GIA
706,GIA
707,GIA
708,GIA
709,GIA
710,IGI
711,IGI
712,GIA
713,GIA
714,GIA
715,GIA
716,IGI
717,GIA
718,GIA
719,GIA
720,GIA
721,GIA
722,GIA
723,GIA
724,IGI
725,GIA
726,GIA
727,GIA
728,IGI
729,GIA
730,GIA
731,GIA
732,GIA
733,GIA
734,IGI
735,IGI
736,GIA
737,GIA
738,GIA
739,GIA
740,GIA
741,GIA
742,IGI
743,IGI
744,GIA
745,GIA
746,GIA
747,GIA
748,GIA
749,GIA
750,IGI
751,GIA
752,GIA
753,GIA
754,GIA
755,GIA
756,GIA
757,GIA
758,GIA
759,GIA
760,IGI
761,GIA
762,IGI
763,GIA
764,GIA
765,GIA
766,GIA
767,GIA
768,GIA
769,GIA
770,GIA
771,GIA
772,GIA
773,GIA
774,GIA
775,IGI
776,GIA
777,IGI
778,GIA
779,IGI
780,IGI
781,IGI
782,GIA
783,GIA
784,GIA
785,GIA
786,GIA
787,GIA
788,GIA
789,GIA
790,IGI
791,GIA
792,GIA
793,GIA
794,GIA
795,IGI
796,IGI
797,IGI
798,IGI
799,GIA
800,GIA
801,GIA
802,GIA
803,GIA
804,GIA
805,IGI
806,GIA
807,GIA
808,GIA
809,GIA
810,GIA
811,GIA
812,IGI
813,IGI
814,IGI
815,GIA
816,GIA
817,IGI
818,IGI
819,IGI
820,IGI
821,IGI
822,IGI
823,IGI
824,IGI
825,IGI
826,IGI
827,IGI
828,IGI
829,IGI
830,IGI
831,IGI
832,IGI
833,IGI
834,IGI
835,IGI
836,GIA
837,IGI
838,IGI
839,IGI
840,IGI
841,IGI
842,IGI
843,IGI
844,IGI
845,IGI
846,IGI
847,IGI
848,GIA
849,GIA
850,GIA
851,GIA
852,IGI
853,GIA
854,GIA
855,GIA
856,IGI
857,IGI
858,GIA
859,GIA
860,GIA
861,HRD
862,IGI
863,IGI
864,IGI
865,IGI
866,IGI
867,IGI
868,IGI
869,IGI
870,GIA
871,GIA
872,GIA
873,GIA
874,GIA
875,GIA
876,IGI
877,GIA
878,GIA
879,GIA
880,GIA
881,GIA
882,HRD
883,IGI
884,GIA
885,GIA
886,GIA
887,GIA
888,GIA
889,IGI
890,GIA
891,GIA
892,GIA
893,GIA
894,GIA
895,GIA
896,GIA
897,GIA
898,GIA
899,IGI
900,GIA
901,GIA
902,GIA
903,GIA
904,GIA
905,GIA
906,IGI
907,GIA
908,GIA
909,GIA
910,GIA
911,IGI
912,IGI
913,GIA
914,GIA
915,GIA
916,GIA
917,GIA
918,GIA
919,IGI
920,GIA
921,GIA
922,HRD
923,HRD
924,HRD
925,GIA
926,GIA
927,GIA
928,IGI
929,IGI
930,GIA
931,GIA
932,GIA
933,GIA
934,IGI
935,HRD
936,IGI
937,GIA
938,GIA
939,GIA
940,GIA
941,GIA
942,GIA
943,GIA
944,GIA
945,GIA
946,GIA
947,GIA
948,GIA
949,GIA
950,GIA
951,IGI
952,GIA
953,GIA
954,GIA
955,GIA
956,HRD
957,IGI
958,IGI
959,IGI
960,IGI
961,GIA
962,HRD
963,GIA
964,GIA
965,GIA
966,GIA
967,GIA
968,GIA
969,IGI
970,GIA
971,GIA
972,GIA
973,IGI
974,IGI
975,GIA
976,IGI
977,GIA
978,GIA
979,GIA
980,GIA
981,GIA
982,IGI
983,IGI
